,,,,,,Daily Price Report-01-01-2023 to 31-12-2023,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,500.00","23,500.00",Rs./Quintal,04-11-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,500.00","23,000.00",Rs./Quintal,03-11-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,400.00","23,000.00",Rs./Quintal,25-08-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,500.00","23,000.00",Rs./Quintal,18-08-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,400.00","23,000.00",Rs./Quintal,15-08-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"21,000.00","23,000.00","22,500.00",Rs./Quintal,03-08-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"21,500.00","23,000.00","22,500.00",Rs./Quintal,01-08-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,000.00","23,000.00",Rs./Quintal,20-07-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,000.00","23,000.00",Rs./Quintal,19-07-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"23,000.00","23,000.00","23,000.00",Rs./Quintal,18-07-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,500.00","23,000.00","23,000.00",Rs./Quintal,17-07-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,100.00","22,500.00",Rs./Quintal,06-07-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,100.00","22,800.00",Rs./Quintal,05-07-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,200.00","22,600.00",Rs./Quintal,04-07-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","22,800.00","22,000.00",Rs./Quintal,03-07-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,200.00","22,500.00",Rs./Quintal,01-07-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,000.00","22,800.00",Rs./Quintal,22-06-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,500.00","23,000.00",Rs./Quintal,20-06-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,500.00","23,000.00",Rs./Quintal,17-06-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,100.00","22,600.00",Rs./Quintal,13-06-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","23,100.00","22,500.00",Rs./Quintal,12-06-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","22,800.00","22,000.00",Rs./Quintal,10-06-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"22,000.00","22,000.00","22,000.00",Rs./Quintal,09-06-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"1,000.00","2,000.00","1,500.00",Rs./Quintal,26-05-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"21,500.00","22,000.00","22,000.00",Rs./Quintal,24-05-2023
Kerala,Idukki,Kattappana APMC,Beverages,Coffee,Other,FAQ,"21,000.00","22,000.00","22,000.00",Rs./Quintal,22-05-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,900.00","24,000.00","24,000.00",Rs./Quintal,30-12-2023
Kerala,Wayanad,Kalpetta APMC,Beverages,Coffee,Other,FAQ,"23,900.00","24,000.00","24,000.00",Rs./Quintal,29-12-2023
