soil_type,soil_moisture,temperature,rainfall,crop_stage,fertilizer,humidity,disease_risk,predicted_yield
Clay,33.50912963483326,30.632195715251633,164.11835786482962,Late,88.28791460238814,57.528417256142134,1,6.134095867262999
Sandy,47.21395327974778,25.506089732721907,78.45340830470941,Late,61.160882428739235,89.0185518619687,1,5.2907051979006905
Clay,53.59163894865606,35.324202444704184,89.51037102121238,Mid,97.67654411154273,53.546690912554226,1,6.488872146747423
Clay,31.682766697819446,37.75505642749172,146.0003442161723,Mid,115.19501367147078,51.7377259553741,1,6.152953777846346
Sandy,12.183082885368059,15.438847766330271,71.55095265874284,Early,144.10921323423645,49.11626227695926,0,5.721588357059818
Sandy,18.083627207340133,21.217268993066348,12.780188409674764,Mid,74.93237434013739,83.68495325854789,1,4.974478217756186
Clay,11.043056964576905,36.3970760425001,14.866921777214293,Late,16.814776552613818,59.803429565890696,0,4.797096623542673
Loamy,42.663150961866506,26.598605179015024,23.072560261140772,Late,66.1148702154812,66.00086864883812,0,6.716453566021691
Clay,26.615731267755447,34.87451840824825,173.93626466873255,Mid,71.8455842180207,40.8491087401437,1,5.704534915287869
Clay,37.123931785968374,25.408879792036753,94.44528515124087,Late,134.54911172785108,62.456541600295616,1,6.825703359236776
Clay,34.66384233918998,26.722654569889112,142.5764738689473,Early,59.220115269442964,46.4788915721093,1,5.983798362381556
Clay,14.076324477621334,19.76036621069055,78.58186712097866,Late,142.99863973307075,73.83821527577265,1,6.618701900562417
Sandy,30.16306805619159,22.7469305899848,51.7421894831269,Early,72.76978615715022,79.95170092754293,1,5.14855130499579
Clay,21.028056246116165,33.16235272522762,69.43843351244239,Late,146.06707514683933,72.88864152787666,1,6.386361294633888
Loamy,30.919989433382636,27.99489333945499,158.8364690634367,Early,1.229748169644329,73.81464997621543,1,5.790850470180446
Sandy,20.178914017112135,38.22908048833786,125.04322500628764,Early,134.822306220952,60.74848224717102,1,5.104928927901627
Loamy,52.02262031384667,40.577548648150284,187.5279559915804,Mid,139.6680677915026,72.72708338004811,1,7.219806624747452
Loamy,18.70966682891268,31.249392546502797,135.94095571536678,Early,144.153140364782,55.361216130489616,1,6.878242963830989
