,,,,,,Daily Price Report-01-01-2024 to 31-12-2024 for Karnataka,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Karnataka,Bangalore,Bangalore APMC,Cereals,Paddy(Common),Paddy,FAQ,"3,000.00","3,500.00","3,250.00",Rs./Quintal,23-05-2024
Karnataka,Bangalore,Bangalore APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","3,500.00","3,000.00",Rs./Quintal,29-01-2024
Karnataka,Bangalore,Bangalore APMC,Cereals,Paddy(Common),Paddy,FAQ,"3,500.00","3,800.00","3,650.00",Rs./Quintal,09-01-2024
Karnataka,Belgaum,Nandagada APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,200.00","2,200.00",Rs./Quintal,16-01-2024
Karnataka,Belgaum,Nandagada APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,200.00","2,200.00",Rs./Quintal,10-01-2024
Karnataka,Belgaum,Nandagada APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,100.00","2,100.00","2,100.00",Rs./Quintal,09-01-2024
Karnataka,Belgaum,Nandagada APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,05-01-2024
Karnataka,Belgaum,Nippani APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,500.00","2,500.00","2,500.00",Rs./Quintal,14-11-2024
Karnataka,Belgaum,Nippani APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,434.00","2,434.00","2,434.00",Rs./Quintal,14-10-2024
Karnataka,Belgaum,Nippani APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,790.00","2,790.00","2,790.00",Rs./Quintal,12-06-2024
Karnataka,Chamrajnagar,Gundlupet APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,400.00","2,400.00","2,400.00",Rs./Quintal,31-12-2024
Karnataka,Chamrajnagar,Gundlupet APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,30-12-2024
Karnataka,Chamrajnagar,Gundlupet APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,200.00","2,420.00","2,200.00",Rs./Quintal,12-12-2024
Karnataka,Chamrajnagar,Gundlupet APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,250.00","2,250.00","2,250.00",Rs./Quintal,10-12-2024
Karnataka,Chamrajnagar,Gundlupet APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,400.00","2,600.00","2,500.00",Rs./Quintal,09-12-2024
Karnataka,Chamrajnagar,Gundlupet APMC,Cereals,Paddy(Common),Paddy,FAQ,"2,650.00","2,650.00","2,650.00",Rs./Quintal,02-12-2024
